Column1,Chinese,English
0,白菜心拌蜇头,Marinated Jellyfish and Chinese Cabbage
1,白灵菇扣鸭掌,Mushrooms with Duck Webs
2,拌豆腐丝,Shredded Tofu with Sauce
3,白切鸡,"Sliced Boiled Chicken (Served with Soy Sauce, Ginger Sauce or Ginger and Scalion Sauce)"
4,拌双耳,Tossed Black and White Fungus
5,冰梅凉瓜,Bitter Melon in Plum Sauce
6,冰镇芥兰,Iced Chinese Broccoli with Wasabi
7,朝鲜辣白菜/朝鲜泡菜,Kimchi
8,陈皮兔肉,Tangerine-Flavored Rabbit Meat
9,川北凉粉,Tossed Clear Noodles in Chili Sauce
10,刺身凉瓜,Bitter Melon with Wasabi
11,豆豉多春鱼,Shisamo in Black Bean Sauce
12,夫妻肺片,Couple’s Sliced Beef in Chili Sauce
13,干拌牛舌,Ox Tongue in Chili Sauce
14,干拌顺风,Pig Ear in Chili Sauce
15,怪味牛腱,Special Flavored Beef Shank
16,红心鸭卷,Duck Meat Rolls with Duck Yolk
17,姜汁皮蛋,Preserved Eggs in Ginger Sauce
18,酱香猪蹄,Pig Feet in Brown Sauce
19,酱肘花,Sliced Pig Knuckle in Brown Sauce
20,金豆芥兰,Chinese Broccoli with Soy Beans
21,韭黄螺片,Sliced Sea Whelks with Chives
22,老北京豆酱,Traditional Beijing Bean Paste
23,老醋泡花生,Deep-Fried Peanuts Pickled in Vinegar
24,凉拌金针菇,Golden Mushroom with Vegetable
25,凉拌西芹云耳,Celery with White Fungus
26,卤水大肠,Marinated Pork Intestines
27,卤水豆腐,Marinated Tofu
28,卤水鹅头,Marinated Goose Heads
29,卤水鹅翼,Marinated Goose Wings
30,卤水鹅掌,Marinated Goose Webs
31,卤水鹅胗,Marinated Goose Gizzard
32,卤水鸡蛋,Marinated Eggs
33,卤水金钱肚,Marinated Beef Tripe
34,卤水牛腱,Marinated Beef Shank
35,卤水牛舌,Marinated Ox Tongue
36,卤水拼盘,Assorted Marinated Meat
37,卤水鸭肉,Marinated Boneless Duck
38,萝卜干毛豆,Pickled Turnip with Green Soy Bean
39,樱桃萝卜蘸酱,Radish with Soy Bean Paste
40,南瓜汁百合,Lily Bulb in Squash Sauce
41,枸杞凉瓜,Bitter Gourd with Chinese Wolfberry
42,麻辣肚丝,Shredded Pork Tripe in Chili Sauce
43,美味牛筋,Beef Tendon
44,蜜汁叉烧,Honey-Stewed BBQ Pork
45,明炉烧鸭,Roast Duck
46,泡菜什锦,Assorted Pickles
47,酸甜泡菜,Sweet and Sour Pickled Vegetables
48,泡椒凤爪,Chicken Feet with Pickled Peppers
49,皮蛋豆腐,Tofu with Preserved Eggs
50,乳猪拼盘,Roast Suckling Pig
51,珊瑚笋尖,Sweet and Sour Bamboo Shoots
52,爽口西芹,Crispy Celery
53,四宝烤麸,Marinated Wheat Gluten with Peanuts and Black Fungus
54,松仁香菇,Black Mushrooms with Pine Nuts
55,蒜茸海带丝,Sliced Kelp in Garlic Sauce
56,跳水木耳,Black Fungus with Pickled Capsicum
57,拌海螺,Marinated Whelks and Cucumber
58,五彩酱鹅肝,Goose Liver with White Gourd
59,五香牛肉,Spiced Beef
60,五香熏干,Spiced Smoked Dried Tofu
